FacilityName,Hours,TAT,Footfalls
Bliss Medical Centre Kerugoya,9pm,0.0,0.0
Bliss Medical Centre Kerugoya,10pm,0.0,0.0
Bliss Medical Centre Kerugoya,11pm,0.0,0.0
Bliss MC Westlands,12am,0.0,0.0
Bliss MC Westlands,1am,0.0,0.0
Bliss MC Westlands,2am,0.0,0.0
Bliss MC Westlands,3am,0.0,0.0
Bliss MC Westlands,4am,0.0,0.0
Bliss MC Westlands,5am,0.0,0.0
Bliss MC Westlands,6am,0.0,0.0
Bliss MC Westlands,7am,0.0,0.0
Bliss MC Westlands,8am,43.17,6.0
Bliss MC Westlands,9am,32.95,19.0
Bliss MC Westlands,10am,44.56,16.0
Bliss MC Westlands,11am,47.04,47.0
Bliss MC Westlands,12pm,53.18,39.0
Bliss MC Westlands,1pm,49.24,38.0
Bliss MC Westlands,2pm,55.44,48.0
Bliss MC Westlands,3pm,69.28,29.0
Bliss MC Westlands,4pm,62.16,38.0
Bliss MC Westlands,5pm,78.68,31.0
Bliss MC Westlands,6pm,47.79,24.0
Bliss MC Westlands,7pm,20.0,8.0
Bliss MC Westlands,8pm,0.0,0.0
Bliss MC Westlands,9pm,0.0,0.0
Bliss MC Westlands,10pm,0.0,0.0
Bliss MC Westlands,11pm,0.0,0.0
Bliss Medical Centre Busia,12am,0.0,0.0
Bliss Medical Centre Busia,1am,0.0,0.0
Bliss Medical Centre Busia,2am,0.0,0.0
Bliss Medical Centre Busia,3am,0.0,0.0
Bliss Medical Centre Busia,4am,0.0,0.0
Bliss Medical Centre Busia,5am,0.0,0.0
Bliss Medical Centre Busia,6am,0.0,0.0
Bliss Medical Centre Busia,7am,0.0,0.0
Bliss Medical Centre Busia,8am,20.67,3.0
Bliss Medical Centre Busia,9am,44.34,35.0
Bliss Medical Centre Busia,10am,45.8,80.0
Bliss Medical Centre Busia,11am,59.28,148.0
Bliss Medical Centre Busia,12pm,64.64,198.0
Bliss Medical Centre Busia,1pm,62.98,170.0
Bliss Medical Centre Busia,2pm,84.55,132.0
Bliss Medical Centre Busia,3pm,73.35,146.0
Bliss Medical Centre Busia,4pm,81.71,139.0
Bliss Medical Centre Busia,5pm,101.05,128.0
Bliss Medical Centre Busia,6pm,97.74,85.0
Bliss Medical Centre Busia,7pm,153.64,11.0
Bliss Medical Centre Busia,8pm,0.0,0.0
Bliss Medical Centre Busia,9pm,0.0,0.0
Bliss Medical Centre Busia,10pm,0.0,0.0
Bliss Medical Centre Busia,11pm,0.0,0.0
Bliss Medical Centre Siaya,12am,0.0,0.0
Bliss Medical Centre Siaya,1am,0.0,0.0
Bliss Medical Centre Siaya,2am,0.0,0.0
Bliss Medical Centre Siaya,3am,0.0,0.0
Bliss Medical Centre Siaya,4am,0.0,0.0
Bliss Medical Centre Siaya,5am,0.0,0.0
Bliss Medical Centre Siaya,6am,0.0,0.0
Bliss Medical Centre Siaya,7am,0.0,0.0
Bliss Medical Centre Siaya,8am,0.0,0.0
Bliss Medical Centre Siaya,9am,22.35,17.0
Bliss Medical Centre Siaya,10am,46.23,99.0
Bliss Medical Centre Siaya,11am,57.43,131.0
Bliss Medical Centre Siaya,12pm,50.88,133.0
Bliss Medical Centre Siaya,1pm,56.78,120.0
Bliss Medical Centre Siaya,2pm,69.01,75.0
Bliss Medical Centre Siaya,3pm,87.4,101.0
Bliss Medical Centre Siaya,4pm,76.07,94.0
Bliss Medical Centre Siaya,5pm,65.55,95.0
Bliss Medical Centre Siaya,6pm,79.8,20.0
Bliss Medical Centre Siaya,7pm,0.0,0.0
Bliss Medical Centre Siaya,8pm,0.0,0.0
Bliss Medical Centre Siaya,9pm,0.0,0.0
Bliss Medical Centre Siaya,10pm,0.0,0.0
Bliss Medical Centre Siaya,11pm,0.0,0.0
Bliss Medical Centre Machakos,12am,0.0,0.0
Bliss Medical Centre Machakos,1am,0.0,0.0
